Year,"Food, Beverages and Tobacco Products","Textile, Wearing Apparel and
Leather Products",Wood and Wood Products,"Paper, Paper Products, Printing
and Publishing","Chemicals, Petroleum, Coal, Rubber
and Plastic Products",Non-Metallic Mineral Products,"Fabricated Metal, Machinery and Transport Equipment",Manufactured Products (Not Elsewhere Specified),Services and Infrastructure
1992-01-01,56.70137466538377,1442.7527602861742,1.3260805365291366,3.4295186289546633,166.69746882472302,159.26684512865458,34.2494593744939,376.03528593611566,142.37075001667125
1993-01-01,64.31966638590622,2653.9658077429594,13.055187618083098,5.737630227055629,215.14034499927067,151.1325063430957,12.660205827090136,440.3423314112041,183.04287735226382
1994-01-01,59.56835819924182,1236.923026861689,3.213315327920863,12.527862291134504,160.72677871239608,91.55914940696029,7.199453329645477,146.42955924702667,72.2589200006508
1995-01-01,77.61112576279419,1435.2476845263432,5.73809231604812,11.241177438264918,239.2569072531054,120.53910650264908,14.139599495517892,179.21256922920253,137.1071136677573
1996-01-01,87.83331381783313,1483.7808109436294,6.18468052824767,15.497869043006586,272.7588783846772,127.8167309171185,20.47093087127591,231.87126822570647,167.67356098804794
1997-01-01,95.78357960276837,1663.9368242934129,6.709764288465642,19.383763500011856,292.4508374215075,110.0672444895778,28.550385924405575,256.58070863695764,150.93580879205035
1998-01-01,143.54295210106014,1766.3061039220815,5.8469634257050975,17.49473003954394,311.88933852379563,88.35069471157544,52.69960456063147,257.23561723931005,153.29814897447338
1999-01-01,116.53124755197575,1792.684191991441,4.85546864799899,13.281965109787933,309.9031094054239,111.52051682511633,25.85819349748299,267.70005342426987,183.77384243298502
2000-01-01,161.50364356359333,2113.4725578251587,5.338856068900254,16.497195152076213,374.6032392091132,115.11664837614126,25.47322810489878,312.6543229254507,243.846730232106
2001-01-01,144.0238124130851,1949.4153600665052,4.6977628438761005,9.42900143248291,338.0938631985795,107.27860328034402,26.80291294772065,227.51231977147225,266.9579056458238
2002-01-01,142.12211250820448,2006.1054687615585,7.895092736880197,13.221147360966043,298.89609685482554,93.95786951549091,102.43778393658445,198.24410770396398,257.0917896779321
2003-01-01,159.3196038157914,2144.6774130201825,14.3461186714044,18.872655754006367,344.7418928676399,94.52901010486394,178.15082673608973,225.4567646222297,306.53046198041187
2004-01-01,179.1919326759528,2353.513796539366,24.79888353997561,25.16429918751806,418.39104033752557,139.4998924739767,221.92581124125525,228.41440800977935,264.1362565816996
2005-01-01,337.49265012851845,2380.887669391553,26.667487954014106,16.61612622610965,556.3613007962973,151.77655826199435,276.1982708304053,231.69932847307211,342.13480529720374
2006-01-01,341.58462040220485,1929.1714195829018,25.735498086914465,18.69311132070086,621.5772188408858,142.01184570502593,235.27536662261429,246.1083276864893,172.0189554370208
2007-01-01,465.3898829426524,2081.431473591448,37.00403002101145,37.11254623808187,729.292279839812,143.93771892581606,163.62436930600714,391.96057605833835,303.9177519418751
2008-01-01,352.10551839872744,2402.204260317351,33.95857186570483,35.777451326700984,747.4301980001096,149.52666431894772,170.74384706701454,365.85329259884554,337.3421262254642
2009-01-01,307.02830853747054,2420.577519926335,19.73921262474086,31.21023653982395,455.90792545052926,84.23978791660792,116.49442724080969,305.392077508612,192.21362910820187
2010-01-01,272.496022412112,2639.175750420548,43.59582352718621,36.8166110176806,655.486128611662,116.14047749639965,154.71826774305103,381.7245351958172,271.5313564022737
2011-01-01,309.86066347207645,3380.3088439058274,54.58811887013184,52.54253524143845,999.4938839915732,175.4042705329605,161.75497800167898,410.80025916760127,370.6760457782306
2012-01-01,317.3201219053697,3087.0645220981273,54.75933758908005,51.04803701885009,926.5540417279387,179.1467539524109,137.68689726510627,384.3746138148522,329.60742992435513
2013-01-01,335.4642800270338,3565.5177962828043,54.74706378672227,40.02386191909704,963.7807942547482,208.4262950702716,136.0811305249299,380.2538099190727,313.0617660273998
2014-01-01,343.72318911631334,4158.574886628264,52.88638313518814,58.86138007108715,1078.7014339992647,234.69481554112028,127.86493442823877,436.24371859296485,430.5444907464151
2015-01-01,304.2618144136877,4684.382276833945,45.335319452090275,51.281900315286535,917.834149270955,178.6697321977915,106.25097515094599,428.17590103947407,526.2503275035252
2016-01-01,329.4140009356442,4746.5946514571015,42.75073900279269,46.799364365818,947.2136451026472,152.32438272616247,118.61786105975513,430.4580830891149,664.0294561512429
2017-01-01,365.00057546317953,5126.6404459579935,50.17929573695237,62.99968588731912,1027.9472804648979,134.45663016963454,147.7428584472664,499.93616596084723,609.1784873547092
2018-01-01,409.59808603165857,5361.449666106241,48.99374978943671,43.93561586241876,1099.3995619668326,138.0218296630326,204.7928895682295,573.3967076901635,651.3116611985592
2019-01-01,399.8801003718373,5591.270791854162,39.27958860035105,58.26416307357461,1105.5350534907186,150.25814681152252,185.09120085973802,548.4357956671769,690.5624964211418
2020-01-01,354.37698356780646,4479.682585073563,27.963069066918553,53.48119115693803,999.3626316480937,105.7587991442326,155.48891270968087,515.1713772450189,590.2522986482044
2021-01-01,443.5756278001629,5309.187188345358,37.167272780584184,49.86137261084083,1346.7626001115896,160.17011745201967,217.6954706851899,670.9066836213422,748.4160179891219
